Symbol,Report Date,Interest,Profit before tax,Net Profit,EPS
AKASH,01-Mar-22,3.4,2.35,2.32,1.38
AKG,01-Mar-20,2,2,1,0.34
AKG,01-Mar-21,1,2,1,0.43
AKG,01-Mar-22,1,2,2,0.61
AKSHARCHEM,01-Mar-15,3,24,16,21.88
AKSHARCHEM,01-Mar-16,3,26,17,22.75
AKSHOPTFBR,01-Mar-11,6,-29,-49,-3.43
AKSHOPTFBR,01-Mar-12,5,21,20,1.37
AKSHOPTFBR,01-Mar-13,4,26,26,1.74
AKSHOPTFBR,01-Mar-14,7,22,22,1.46
AKSHOPTFBR,01-Mar-15,11,26,25,1.67
AKSHOPTFBR,01-Mar-16,15,29,26,1.57
AKSHOPTFBR,01-Mar-17,15,18,10,0.59
AKSHOPTFBR,01-Mar-18,19,33,21,1.28
AKSHOPTFBR,01-Mar-19,32,27,11,0.66
AKSHOPTFBR,01-Mar-20,31,-366,-359,-22.08
AKSHOPTFBR,01-Mar-21,29,-25,-25,-1.56
AKSHOPTFBR,01-Mar-22,26,6,0,-0.03
AKZOINDIA,01-Mar-06,4,94,53,11.99
AKZOINDIA,01-Mar-07,3,603,463,112.98
AKZOINDIA,01-Mar-08,3,90,60,15.55
AKZOINDIA,01-Mar-09,3,379,295,77.22
AKZOINDIA,01-Mar-16,2,314,214,45.91
AKZOINDIA,01-Mar-17,3,337,247,52.94
AKZOINDIA,01-Mar-18,4,478,400,85.75
AKZOINDIA,01-Mar-19,4,316,211,46.33
AKZOINDIA,01-Mar-20,9,323,237,52.13
AKZOINDIA,01-Mar-21,10,278,208,45.59
