Symbol,Series,Face Value,Purpose,From,Ex-date,Multiplier
CENTRALBK,EQ,10,Rights Issue - 3:5 @ Premium Rs.93/-,31-Dec-10,17-Mar-11,1.175
CESC,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,17-Sep-21,10
CGCL,EQ,2,Fv Splt Frm Rs 10 To Rs 2,31-Dec-10,23-Nov-16,5
CHOICEIN,EQ,10,Bonus 1:1,31-Dec-10,22-Sep-22,2
CHOLAFIN,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,14-Jun-19,5
CLEDUCATE,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,30-Sep-21,4
CLEDUCATE,EQ,5,Bonus 1:1,30-Sep-21,16-Dec-22,2
CMAHENDRA,EQ,10,Bonus 1:1,31-Dec-10,18-Jun-15,2
CMC,EQ,10,Dividend Rs.20/- Per Share And Bonus 1:1,31-Dec-10,08-Jun-11,2
CNOVAPETRO,EQ,10,Rights 1:1 @ Premium Rs 4.50 Per Share,31-Dec-10,24-Oct-16,1.560606061
COASTCORP,EQ,10,Rights 1:6 @ Premium Rs 215/-,31-Dec-10,25-Aug-22,1.054
COLPAL,EQ,1,Bonus 1:1,31-Dec-10,23-Sep-15,2
COMPINFO,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,16-Feb-17,5.17
COMPINFO,EQ,2,Rights 8:25 @ Premium Rs 18/-,16-Feb-17,14-Nov-22,1.034
CONCOR,EQ,5,Bonus 1:2,31-Dec-10,06-Sep-13,4.6875
CONCOR,EQ,5,Bonus 1:4,06-Sep-13,05-Apr-17,3.125
CONCOR,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,05-Apr-17,26-Jun-18,2.5
CONCOR,EQ,5,Bonus 1:4,26-Jun-18,04-Feb-19,1.25
CORALFINAC,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,03-Aug-17,5
COROENGG,EQ,10,Rights 91:10 @ Premium Rs.10/- Per Share,31-Dec-10,13-Jan-14,6.531
CORPBANK,EQ,2,Face Valus Split (Sub-Division) - From Rs 10/- Per To Rs 2/- Per Share,31-Dec-10,22-Jan-15,5
COX&KINGS,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,21-Jun-11,2
CREST,EQ,10,Rights 1:2@Prem Rs 40,31-Dec-10,15-Sep-16,1.164
CRISIL,EQ,1,Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,28-Sep-11,10
CUB,EQ,1,Rights 1:4 @ Premium Rs.19/- Per Share,31-Dec-10,22-Nov-12,1.39755
CUB,EQ,1,Bonus 1:10,22-Nov-12,13-Jul-17,1.21
CUB,EQ,1,Bonus 1:10,13-Jul-17,10-Jul-18,1.1
CUMMINSIND,EQ,2,Bonus 2:5,31-Dec-10,20-Sep-11,1.4
CUPID,EQ,10,Bonus 1:5,31-Dec-10,11-Oct-18,1.2
DAAWAT,EQ,1,Fv Splt Frm Rs 10 To Re 1,31-Dec-10,07-Feb-17,10
DAMODARIND,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,25-Oct-18,2
DANGEE,EQ,1,Bonus 1:2,31-Dec-10,06-Sep-22,15
DECCANCE,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,11-Sep-17,2
DEEPAKFERT,EQ,10,Rights 3:20 @ Premium Rs 123/-,31-Dec-10,16-Sep-20,1.031
DEEPAKNTR,EQ,2,Bonus 1 : 1 / Face Value Split From Rs 10/- Each To Rs 2/- Each,31-Dec-10,20-Jun-14,10
DFMFOODS,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,01-Nov-18,5
DHANI,EQ,2,Rights 3:16 @ Premium Rs 238/-,31-Dec-10,09-Feb-18,1.0006
