Symbol,Series,Face Value,Purpose,Ex-date,Multiplier
GPTINFRA,EQ,10,Bonus 1:1,13-Jul-17,2
GRANULES,EQ,1,Face Value Split Rs 10 To Rs 1,23-Mar-15,10
GRASIM,EQ,2,Face Value Split From Rs 10 To Re 2,06-Oct-16,5
GRAVITA,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,25-May-12,5
GREENPLY,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,06-Jan-16,5
GRINDWELL,EQ,5,Bonus 1:1,14-Jul-16,2
GRUH,EQ,2,Face Value Split From Rs 10 To Rs 2,24-Jul-12,5
GRUH,EQ,2,Bonus Issue 1 : 1,09-Jun-14,2
GRUH,EQ,2,Bonus 1:1,06-Jun-18,2
GSFC,EQ,2,Face Value Split From Rs 10 To Rs 2,20-Sep-12,5
GUJGASLTD,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,15-Jan-19,5
GULFPETRO,EQ,5,Bonus 23:19,09-Jul-13,2.210526316
GULPOLY,EQ,1,Fv Splt Frm Rs 5 To Re 1,27-Dec-16,5
HARDWYN,EQ,10,Bonus 1:2,25-Jul-22,1.5
HATHWAY,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,06-Jan-15,5
HATSUN,EQ,1,Bonus 2:5,13-Jul-16,1.4
HATSUN,EQ,1,Bonus 1:3,09-Dec-20,1.333333333
HAVELLS,EQ,1,Face Value Split From Rs 5/- Per Share To Re 1/- Per Share,26-Aug-14,5
HCLTECH,EQ,2,Bonus 1 : 1,19-Mar-15,2
HCLTECH,EQ,2,Bonus 1:1,05-Dec-19,2
HDFCBANK,EQ,1,Face Value Split From Rs.10/- To Rs.2/-,14-Jul-11,5
HDFCBANK,EQ,1,Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share,19-Sep-19,2
HERCULES,EQ,1,Annual General Meeting/Dividend Rs.3.50 Per Share/Bonus 1:1 (Purpose Revised),11-Jul-12,2
HERITGFOOD,EQ,5,Bonus 1:1,26-Jul-13,2
HERITGFOOD,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,10-Oct-17,2
HEXAWARE,EQ,2,Dividend Rs 1.40 Per Share / Bonus 1:1,24-Feb-11,2
HGS,EQ,10,Bonus 1:1,22-Feb-22,2
HIKAL,EQ,2,Face Value Split (Sub-Division): From Rs 10/- Per Share To Rs 2/- Per Share,27-Feb-15,5
HIKAL,EQ,2,Bonus 1:2,22-Jun-18,1.5
HINDCOMPOS,EQ,5,Bonus 1:2/Face Value Split (Sub-Division) From Rs 10 Per Share To Rs 5 Per Share,25-May-17,3
HINDPETRO,EQ,10,Bonus 2:1,14-Sep-16,3
HINDPETRO,EQ,10,Bonus 1:2/ Dividend - Rs 1.10 Per Share,11-Jul-17,1.5
HINDZINC,EQ,2,Bonus - 1:1 And Face Value Split From Rs. 10 To Rs. 2,07-Mar-11,10
ICICIBANK,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,04-Dec-14,5
ICICIBANK,EQ,2,Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),20-Jun-17,1.1
ICIL,EQ,2,Fv Splt Frm Rs 10 To Rs 2,11-Nov-16,5
IEX,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,19-Oct-18,10
IEX,EQ,1,Bonus 2:1,03-Dec-21,3
IGARASHI,EQ,10,Bonus 25:202,27-Sep-18,1.123762376
IGL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,09-Nov-17,5
IMFA,EQ,10,Bonus 1:1,07-Jan-22,2
IMPAL,EQ,10,Bonus 1:1,10-Sep-12,2
IMPAL,EQ,10,Bonus 1:2,25-Oct-19,1.5
INDIANHUME,EQ,2,Bonus 1:1,09-Dec-16,2
INDNIPPON,EQ,5,Bonus 2:5,20-Sep-11,1.4
INDNIPPON,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,21-Mar-18,2
INDOCO,EQ,2,Bonus 1:2 And Face Value Split From Rs.10 To Rs.2,17-May-12,7.5
INDTERRAIN,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,21-Dec-15,5
INFIBEAM,EQ,1,Annual General Meeting/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Aug-17,10
INFIBEAM,EQ,1,Bonus 1:1,18-Mar-21,2
INFIBEAM,EQ,1,Bonus 1:1,14-Mar-22,2
INFINITE,EQ,10,Bonus 1:26,01-Nov-17,1.038461538
INFODRIVE,EQ,1,Face Value Split (Sub Division) - From Rs 10/- Per Share To Re 1/- Per Share,24-Dec-14,10
INFY,EQ,5,Bonus 1:1,02-Dec-14,2
INFY,EQ,5,Annual General Meeting/ Dividend - Rs 29.50/- Per Share And Bonus 1:1,15-Jun-15,2
